"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"Mb2194C",12028.9845252366,-1.55678868132706,0.131155964840105,-4.24524101519784,2.18358585615487e-05,0.000752774653139912
"Mb3587C",1710.07687829639,-1.55344449698563,0.118554281585654,-4.66827928593851,3.03732834717041e-06,0.000131748199489091
"Mb1808C",9411.9079034959,-1.54185404497408,0.174793329985151,-3.09996980445485,0.00193540372243521,0.0426634897065772
"Mb0481C",802.324166727685,-1.48171136460421,0.139760029145038,-3.44670337829066,0.000567471259370546,0.0143073691268799
"Mb1295",8599.61258893924,-1.46849677397102,0.0912743161091544,-5.13284343221755,2.85397311491497e-07,1.42389357099071e-05
"Mb3950C",3638.41046907675,-1.45757419114965,0.107213677111696,-4.26787144585053,1.97346993563295e-05,0.000698331378977484
"Mb3585C",1247.41043114092,-1.43604306821167,0.137214004794459,-3.17783209421548,0.00148380652808784,0.033817375900036
"Mb2942C",3207.71521803803,-1.39350435745535,0.116753658406693,-3.37038138954619,0.000750642131472395,0.0184639655997539
"Mb3948C",7038.05166748334,-1.33586895716222,0.105149048684261,-3.19421774485817,0.00140210318746406,0.0323204814756
"Mb1124",33634.6423704138,-1.28801438109564,0.0878349342050967,-3.27904134843566,0.00104160373005266,0.0247166438060731
"Mb0755",3911.37992706147,1.38429133766799,0.123931236973216,3.10084323414797,0.00192970423489094,0.0426634897065772
"Mb0782C",1315.94465850413,1.39543141226139,0.109674318192867,3.60550599973645,0.000311545292646756,0.00843472288951015
"Mb1716",794.796405686866,1.4103164299909,0.119533569434573,3.43264600841264,0.000597721946918691,0.0148840144066049
"Mb3342C",1476.2142288931,1.46129877900451,0.139100298463505,3.3163033012869,0.000912167738714723,0.0221667750480433
"Mb3127C",1433.93741656508,1.46200130875284,0.124871502103228,3.69981381637355,0.000215757695710305,0.00600252789307151
"Mb0164C",314.011693545773,1.46314180069698,0.144205219943614,3.21168540832348,0.00131958789812266,0.0307700438209642
"Mb2324",1731.2619627929,1.46589123708506,0.132022646306057,3.52887364494284,0.000417332341058932,0.0109319393755307
"Mb0282",432.006563277873,1.47585517864604,0.133954752704091,3.55235756134176,0.000381795663197055,0.0101941050027609
"Mb1283C",2962.7535964985,1.48226347871927,0.122552404717273,3.9351612873843,8.31408432168683e-05,0.00250291165326005
"Mb0734",930.047039093458,1.48634149044406,0.112507513082581,4.32274678480435,1.54098560590742e-05,0.000555029994127728
"Mb3105",489.301272228823,1.49881793999984,0.131724375342942,3.78683093923331,0.00015258083706348,0.00433249016701244
"Mb2161C",3466.80302231099,1.49985888888575,0.13776206349251,3.62842190522886,0.000285158980569828,0.00777250897039654
"Mb1037",3455.42000362789,1.50983157545338,0.121696949871055,4.18935376764642,2.79749987459075e-05,0.000932654090421413
"Mb3699",975.699040801562,1.52176564293617,0.113852665180608,4.58281448316103,4.5875901875907e-06,0.000185063388167409
"Mb3855C",2221.71675121763,1.53648672698067,0.162807325502464,3.29522474080902,0.000983429955104019,0.0235324971236908
"Mb0320",3100.6694017153,1.54316090819955,0.138965115950583,3.90861335583457,9.28273896198768e-05,0.00273332620238382
"Mb2062",495.600512017481,1.54779669675669,0.14153555386355,3.87038225946253,0.000108664829630418,0.00315362534337488
"Mb1502C",1250.19300339375,1.55815326870693,0.158993247330166,3.51054700799882,0.000447185733197357,0.0115637644084496
"Mb0702",3336.9833060806,1.56654603614259,0.149640968200736,3.78603562216062,0.000153069741308317,0.00433249016701244
"Mb2236",3811.92922471587,1.59462134617078,0.146022918524616,4.07210972208133,4.65892220957791e-05,0.00147984977901081
"Mb0386",521.107314205652,1.59535136966533,0.167388748243346,3.5566988576784,0.00037554423052293,0.0100996361728633
"Mb1924",2202.68833055134,1.60096363317597,0.188656094444364,3.18549811468295,0.00144505045440536,0.0331212132560865
"Mb3523C",1034.42189841846,1.60422406013976,0.164294471691268,3.67768954073622,0.000235356175544199,0.00650292337085821
"Mb3167",448.830700231889,1.60441025420694,0.150682302299581,4.01115622062421,6.04221111230307e-05,0.00186063203259776
"Mb2273C",507.366045363301,1.60543568946791,0.130284321292733,4.64703414394405,3.36741445838378e-06,0.000141501561720002
"Mb2061",346.052606428093,1.61053625465766,0.138376621177092,4.4121344303985,1.02356525397715e-05,0.000378813049040717
"Mb0469",1135.74618646281,1.61884753959899,0.120622713910223,5.13043952948682,2.89066412648134e-07,1.42389357099071e-05
"Mb1918C",8368.07286960566,1.62280683556838,0.13334140340979,4.67076856581709,3.00074872943308e-06,0.000131576308418837
"Mb1315",297.727612106286,1.62587657995892,0.160307168819247,3.90423325774423,9.4524581277461e-05,0.002763131600531
"Mb0270C",1797.15879259047,1.63191172176188,0.20438376524895,3.09179019670265,0.001989534101623,0.0436183726410173
"Mb2555",447.514517183304,1.63757346801753,0.153715814224479,4.14774154002432,3.35771148273601e-05,0.00107500064455215
"Mb2986C",570.571413787545,1.65505024767765,0.173055359683354,3.78520635752758,0.000153581084254531,0.00433249016701244
"Mb1837",605.982149869278,1.65736150236805,0.145631092984008,4.51388154066956,6.36517789476096e-06,0.000246895457956401
"Mb2417B",1531.86936243006,1.66946882536699,0.125663988540722,5.32745166806519,9.96002701953581e-08,5.65897873194471e-06
"Mb1536C",563.350794981368,1.67684611433137,0.163158677531203,4.14839176544516,3.34819076969614e-05,0.00107500064455215
"Mb3789",3890.01835231909,1.68996195377681,0.200430288554687,3.44240363446143,0.000576569247578562,0.0144464617685212
"Mb2982C",1738.0283761289,1.70174804273591,0.153483090799188,4.57215214446037,4.82740206234701e-06,0.000192809306133741
"Mb1917C",1275.81672652095,1.70303471111659,0.112512885363001,6.24848175254226,4.14461633816827e-10,3.09618190892052e-08
"Mb2558",396.384361380862,1.70702214494685,0.183508752895252,3.8527979390194,0.000116775753078536,0.0033648099137058
"Mb0174",3753.80682561842,1.71238267675868,0.225322084989986,3.16161940712708,0.00156894478021815,0.0353582304100559
"Mb3389",426.087644523928,1.71837838785259,0.17207159344595,4.17488077762375,2.98142150466648e-05,0.000977809296733705
"Mb0173",6032.30057269032,1.72753090022744,0.234207009193606,3.10635835679038,0.00189407025021706,0.0422136982838431
"Mb3652",1199.02161983274,1.73079866496765,0.16291652591087,4.48572458123408,7.26665595055013e-06,0.000279178000995421
"Mb1079",408.696931589934,1.73273343584512,0.151715356234516,4.82965900111316,1.36767065913735e-06,6.2695266351819e-05
"Mb3451C",11023.5517960387,1.77485830299417,0.109320954352946,7.08792113625829,1.36141509637906e-12,1.33949963385199e-10
"Mb2277",145.193192346886,1.78509667370441,0.226291264176219,3.46940778541515,0.000521607092920983,0.0132337296405236
"Mb1248C",659.151918726792,1.78535668002422,0.145812404839357,5.38607590272897,7.20125616443825e-08,4.21012570541216e-06
"Mb1018C",1015.60339701324,1.7910864716326,0.135946598629353,5.81909720146388,5.91663215754653e-09,3.72932720680355e-07
"Mb3854C",282.748765108876,1.7930765441536,0.240725327444458,3.2945288830756,0.000985868124418378,0.0235324971236908
"Mb0891C",12005.5563782602,1.79363649322604,0.200115042113605,3.96590123782644,7.31191362752261e-05,0.00221776387770122
"Mb2899",6534.2264613063,1.79394650644543,0.232767824806073,3.41089455601045,0.000647501265861405,0.0160246632299688
"Mb2941",1020.57773356798,1.80308665977532,0.205056248774721,3.91642129695645,8.98731371021724e-05,0.00267073891793453
"Mb2076",1465.78442412356,1.80468498407562,0.155805317615816,5.16468241513946,2.4084749640901e-07,1.27839315857098e-05
"Mb2164C",782.660749249653,1.82051102573718,0.135872537070093,6.03882906310864,1.5523658548777e-09,1.11825783188869e-07
"Mb0470",1429.59031006648,1.83617170577131,0.11962238946552,6.99009365644153,2.74702801565418e-12,2.51852523071567e-10
"Mb1926",612.543140787099,1.83682768064112,0.205921380743017,4.06382123906528,4.82758037984464e-05,0.00152144212908541
"Mb2999CA",144.959478145575,1.83704071734642,0.235735219213259,3.55076649191389,0.00038411104621211,0.0101941050027609
"Mb3505",15108.5926750473,1.84530990544545,0.239418212351517,3.53068338930019,0.000414487569136669,0.0109283846659956
"Mb3109C",1831.20141835567,1.84770452953162,0.17165661130717,4.93837390285363,7.87766908848739e-07,3.65270311528254e-05
"Mb0367C",288.05442436766,1.85535167486981,0.192747985226499,4.43766856428969,9.09385008701335e-06,0.000342846647205718
"Mb0975C",4683.97467094263,1.89038642695428,0.153603513395672,5.79665404306675,6.76510452191169e-09,4.1985279448295e-07
"Mb0999C",269.058917966615,1.89081893087657,0.269587806795291,3.30437396804451,0.000951887641072555,0.0229935014615969
"Mb2557C",171.8940834613,1.89175981117375,0.201479700149177,4.42605290018543,9.59729976711945e-06,0.000358476919079258
"Mb0099",175.011206372435,1.90060903462759,0.211569129337097,4.25680739647342,2.07366852002577e-05,0.00072740685302469
"Mb0071C",724.669772993132,1.90572488420778,0.171923187598991,5.26819504021979,1.37771684411744e-07,7.71904131829135e-06
"Mb0176",3097.04353904295,1.9183085882939,0.23450321258678,3.91597444727572,9.00397850369598e-05,0.00267073891793453
"Mb0783C",1130.75562661611,1.94311376587475,0.119189349773892,7.91273522058707,2.51794514901477e-15,3.07799719125018e-13
"Mb2275",2426.55682537655,1.95019575138714,0.146719320389061,6.47628239326265,9.40100313983642e-11,7.73951972777554e-09
"Mb2323",1708.2995158873,1.95594703958729,0.130400455600315,7.33085659238281,2.28686275648519e-13,2.42768535780559e-11
"Mb2274C",179.194728097439,1.97693049798602,0.191999272950566,5.08819894457389,3.61480055692201e-07,1.75688017429197e-05
"Mb2101C",102.869264931455,1.98109492772565,0.263056914238562,3.72959186632865,0.000191790173059133,0.00537278859805933
"Mb3657",4894.91458830199,1.98339424882772,0.196243203903151,5.01109964201889,5.41198809631728e-07,2.59904285482666e-05
"Mb0837C",6204.89006995436,1.99775090651377,0.120249355022774,8.29734933983483,1.06459979852551e-16,1.38535341524255e-14
"Mb0175",6003.37054900607,2.00291866259023,0.215232871149767,4.65969095348993,3.16684493646165e-06,0.000135737396666869
"Mb0998C",718.44209999304,2.00927701834574,0.239140041339683,4.2204434384626,2.43822229019184e-05,0.000819649059886155
"Mb0036",699.015168133527,2.03483809048282,0.259570584051439,3.98673098596467,6.69899075773222e-05,0.00204725217550695
"Mb3517C",1349.7387794809,2.03566076766318,0.1279083129139,8.09689959995268,5.63775636080115e-16,7.10709661233495e-14
"Mb2898",13641.3682778397,2.03806589929933,0.245296918199505,4.23187501465082,2.31751187924732e-05,0.000785617052175101
"Mb1576",1101.22570335208,2.04410372875259,0.228646850802688,4.56644701244366,4.96060355563041e-06,0.000196187007288363
"Mb3761C",3514.0430606821,2.05247549033416,0.202125835627322,5.20703099169721,1.91886054909905e-07,1.03209112734208e-05
"Mb0269C",2467.87145713098,2.05774903812859,0.245568020201454,4.30735662266143,1.65217120556519e-05,0.000589810499402654
"Mb2435",5231.16678521918,2.08097435794205,0.145034793598175,7.45320713136554,9.10980886430747e-14,9.93215377259901e-12
"Mb0178",6274.81244606138,2.10056154369335,0.253136165685306,4.34770567340246,1.37569044847044e-05,0.000499958132354031
"Mb1000C",295.435099230993,2.10250550183865,0.302675289515802,3.64253554891237,0.000269965681219043,0.00740844597304503
"Mb3646C",15946.5493537519,2.10377125325665,0.172961187755303,6.3816123581333,1.75233079985945e-10,1.38605930326138e-08
"Mb2417A",5318.01021125445,2.10739338637429,0.132540382566517,8.35513950488663,6.53554283426715e-17,8.78812659781123e-15
"Mb1665C",547.845521499389,2.11661801557991,0.162486224851307,6.87207802754816,6.32733268275421e-12,5.67210223160678e-10
"Mb3194",629.686166592631,2.15081628199956,0.192854720070362,5.96727050071519,2.41255269930041e-09,1.67797199809963e-07
"Mb3504",3077.36314719358,2.1560295566487,0.23235968918667,4.97517258994086,6.51895314776407e-07,3.05784383698608e-05
"Mb0177",7541.47611840579,2.19656550390486,0.23916843013088,5.00302445122069,5.64377791931393e-07,2.6784706031191e-05
"Mb0256C",1961.30507234861,2.20226784528318,0.186451264753521,6.44816138347204,1.13215176485764e-10,9.13420043887141e-09
"Mb0070C",1138.02997635435,2.21759825770051,0.20698828886219,5.88244998977295,4.04237501673884e-09,2.67326898647942e-07
"Mb2666C",825.096717044759,2.23463653913773,0.235570188290575,5.24105595914711,1.59660283817422e-07,8.70364303945246e-06
"Mb1577",1078.75026184125,2.25606846265119,0.244584999174227,5.13550899234194,2.8138142452079e-07,1.42389357099071e-05
"Mb0078C",186.048790753821,2.26412488605589,0.192642957943078,6.56200932312,5.30874956747807e-11,4.46156161566803e-09
"Mb1108",4424.95486182368,2.27447562284857,0.128522650977378,9.91635025543395,3.53444635832834e-23,9.50530440633102e-21
"Mb1107",9246.41080823286,2.2961162575757,0.125651736377134,10.3151480030925,6.01885014636256e-25,2.02333679086888e-22
"Mb0179",5150.67483706804,2.31989973559035,0.255903550618067,5.15780157173468,2.49866208659029e-07,1.29517547380241e-05
"Mb2900",24131.7874699857,2.32342021775259,0.225825539674167,5.86036557097169,4.61849288925091e-09,2.95730163733939e-07
"Mb1838",822.24344975851,2.33663344850954,0.158718624213044,8.42140268753473,3.72003245305792e-17,5.35950389844131e-15
"Mb0112C",10409.0168739048,2.33871261243819,0.189585619568634,7.06125609887593,1.65004164439063e-12,1.58482571273139e-10
"Mb0080",257.585208986412,2.35357558071548,0.186688667206973,7.25044321632462,4.15410010340659e-13,4.29683072234415e-11
"Mb1298C",403.281537342902,2.35660198488075,0.154494473082839,8.78090949022718,1.62158003805007e-18,2.6165815493976e-16
"Mb2590",781.726552607257,2.37102310932352,0.123232719753585,11.1254795971801,9.42973701308549e-29,3.45814173734426e-26
"Mb0035",130.964444380316,2.40026316801361,0.329989173693154,4.24336093315493,2.20196849455899e-05,0.000752774653139912
