"Geneid","SVG09","SVG10","SVG11","SVG12","SVG13","SVG14"
"Mb2604",879,1036,941,1058,750,830
"Mb2810",321,277,320,850,486,711
"Mb3655",636,779,760,992,779,841
"Mb3817",491,474,590,1078,921,878
"Mb3741C",1419,1390,1442,1108,878,751
"Mb2676",263,235,283,504,398,338
"Mb1321C",1309,1462,1340,828,620,631
"Mb0761",803,872,851,920,972,755
"Mb1648C",581,591,538,686,530,509
"Mb1884",748,905,840,1001,822,705
"Mb1268",961,1049,1025,891,854,788
"Mb3343C",621,826,748,1371,948,1058
"Mb3574C",1021,1120,1056,1027,952,701
"Mb3483",1378,1238,1390,1120,631,950
"Mb2720C",1064,1200,1106,932,669,798
"Mb2932C",679,761,729,1022,698,836
"Mb0071C",282,398,317,1345,1051,804
"Mb1176",906,923,771,1150,926,990
"Mb2143",1206,1184,1178,1224,1068,924
"Mb3095C",628,763,686,893,568,621
"Mb3924C",892,931,901,759,954,497
"Mb3412C",1131,1338,1278,750,688,673
"Mb1791",528,521,494,914,1083,587
"Mb0576C",1204,1428,1264,970,641,658
"Mb1447",1009,931,1004,1017,684,850
"Mb3062C",1534,1256,1696,1372,1066,1271
"Mb1293C",1324,1360,1197,819,633,764
"Mb2748C",1875,1513,1646,654,478,636
"Mb2197C",1013,936,1056,1258,1062,985
"Mb1913C",1149,1149,1149,1131,1109,965
"Mb0163",1400,1274,1464,1263,888,1037
"Mb2851C",1667,1560,1779,971,848,599
"Mb1853",1460,1478,1626,1244,966,909
"Mb0597",544,567,570,976,708,820
"Mb0981",1127,1143,1157,905,676,835
"Mb2115",801,1044,775,972,667,771
"Mb0734",507,549,538,1383,1205,1197
"Mb3936C",932,957,969,905,745,695
"Mb1838",298,294,293,1405,1390,999
"Mb0423",1278,1345,1215,1020,720,774
"Mb0223C",799,843,858,1037,913,858
"Mb3564C",827,979,781,924,786,613
"Mb1411",1108,1127,1181,1189,1052,818
"Mb1795A",1505,1490,1641,1146,992,1025
"Mb2802",1302,1073,1117,981,1281,828
"Mb0187C",2048,2141,2144,1017,913,817
"Mb2369C",973,957,892,726,1005,585
"Mb1976",758,975,839,1083,789,836
"Mb0124C",940,1135,999,959,926,687
"Mb3575C",822,744,763,803,828,590
"Mb1002",755,873,776,815,704,544
"Mb0586C",4128,2824,3900,1705,522,1611
"Mb0166",312,399,376,868,437,552
